Pratham Filter Industries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"J 106, Ansa Industrial Estate,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Saki Vihar Road, Andheri ( East)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mumbai - 400072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phone - 02242046000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movement Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pratham Filter Industries,,,,,,Pratham Filter Industries,,,,,,Pratham Filter Industries,,,,,,Pratham Filter Industries,,,,,,Pratham Filter Industries,,,,,,Pratham Filter Industries,,,,,,Pratham Filter Industries,,,,,,Pratham Filter Industries,,,,,,Pratham Filter Industries,,,,,,Pratham Filter Industries,,,,,,Pratham Filter Industries,,,,,,Pratham Filter Industries,,,,,
Particulars,1-Apr-22 to 30-Apr-22,,,,,,1-May-22 to 31-May-22,,,,,,1-Jun-22 to 30-Jun-22,,,,,,1-Jul-22 to 31-Jul-22,,,,,,1-Aug-22 to 31-Aug-22,,,,,,1-Sep-22 to 30-Sep-22,,,,,,1-Oct-22 to 31-Oct-22,,,,,,1-Nov-22 to 30-Nov-22,,,,,,1-Dec-22 to 31-Dec-22,,,,,,1-Jan-23 to 31-Jan-23,,,,,,1-Feb-23 to 28-Feb-23,,,,,,1-Mar-23 to 31-Mar-23,,,,,
,Inward,,,Outward,,,Inward,,,Outward,,,Inward,,,Outward,,,Inward,,,Outward,,,Inward,,,Outward,,,Inward,,,Outward,,,Inward,,,Outward,,,Inward,,,Outward,,,Inward,,,Outward,,,Inward,,,Outward,,,Inward,,,Outward,,,Inward,,,Outward,,
,Quantity,Eff. Rate,Value,Quantity,Eff. Rate,Value,Quantity,Eff. Rate,Value,Quantity,Eff. Rate,Value,Quantity,Eff. Rate,Value,Quantity,Eff. Rate,Value,Quantity,Eff. Rate,Value,Quantity,Eff. Rate,Value,Quantity,Eff. Rate,Value,Quantity,Eff. Rate,Value,Quantity,Eff. Rate,Value,Quantity,Eff. Rate,Value,Quantity,Eff. Rate,Value,Quantity,Eff. Rate,Value,Quantity,Eff. Rate,Value,Quantity,Eff. Rate,Value,Quantity,Eff. Rate,Value,Quantity,Eff. Rate,Value,Quantity,Eff. Rate,Value,Quantity,Eff. Rate,Value,Quantity,Eff. Rate,Value,Quantity,Eff. Rate,Value,Quantity,Eff. Rate,Value,Quantity,Eff. Rate,Value
"10"" Bag Assembly",,,,5.00 Nos,595.00,2975.00,12.00 Nos,610.00,7320.00,4.00 Nos,610.00,2440.00,18.00 Nos,612.27,11020.88,26.00 Nos,1163.88,30260.88,12.00 Nos,610.00,7320.00,,,,4.00 Nos,1150.00,4600.00,5.00 Nos,1728.00,8640.00,,,,2.00 Nos,1450.00,2900.00,,,,6.00 Nos,2496.67,14980.00,17.00 Nos,737.60,12539.12,7.00 Nos,2185.59,15299.12,21.00 Nos,614.32,12900.72,24.00 Nos,1695.45,40690.72,,,,1.00 Nos,2500.00,2500.00,,,,7.00 Nos,1571.43,11000.00,,,,5.00 Nos,1460.00,7300.00
"10"" BB L -1""",,,,3.00 Nos,450.00,1350.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10"" BB L 1.5""",5.00 Nos,260.35,1301.75,14.00 Nos,324.41,4541.75,,,,1.00 Nos,400.00,400.00,,,,6.00 Nos,400.00,2400.00,24.00 Nos,300.00,7200.00,17.00 Nos,305.82,5199.00,,,,4.00 Nos,300.00,1200.00,,,,2.00 Nos,400.00,800.00,,,,1.00 Nos,400.00,400.00,8.00 Nos,300.00,2400.00,1.00 Nos,450.00,450.00,,,,5.00 Nos,439.80,2199.00,,,,1.00 Nos,400.00,400.00,,,,2.00 Nos,400.00,800.00,20.00 Nos,300.00,6000.00,12.00 Nos,333.33,4000.00
"10"" BB V",,,,4.00 Nos,957.50,3830.00,,,,2.00 Nos,990.00,1980.00,1.00 Nos,400.00,400.00,1.00 Nos,980.00,980.00,4.00 Nos,400.00,1600.00,4.00 Nos,980.00,3920.00,4.00 Nos,400.00,1600.00,1.00 Nos,980.00,980.00,4.00 Nos,400.00,1600.00,,,,,,,1.00 Nos,980.00,980.00,,,,4.00 Nos,980.00,3920.00,,,,,,,4.00 Nos,400.00,1600.00,2.00 Nos,980.00,1960.00,,,,,,,8.00 Nos,400.00,3200.00,10.00 Nos,900.00,9000.00
"10"" BB V 1""",,,,,,,,,,,,,1.00 Nos,400.00,400.00,,,,40.00 Nos,400.00,16000.00,41.00 Nos,550.00,22550.00,,,,,,,12.00 Nos,400.00,4800.00,12.00 Nos,583.33,7000.00,,,,,,,12.00 Nos,400.00,4800.00,12.00 Nos,550.00,6600.00,,,,,,,,,,,,,,,,,,,,,,,,
"10"" Blue L 1""",64.00 Nos,77.23,4942.82,78.00 Nos,101.83,7942.82,125.00 Nos,78.91,9864.00,10.00 Nos,230.00,2300.00,,,,20.00 Nos,92.00,1840.00,,,,,,,18.00 Nos,78.35,1410.30,26.00 Nos,115.78,3010.30,,,,6.00 Nos,246.67,1480.00,,,,10.00 Nos,330.00,3300.00,1.00 Nos,78.35,78.35,2.00 Nos,164.18,328.35,20.00 Nos,78.32,1566.36,24.00 Nos,123.60,2966.36,,,,4.00 Nos,275.00,1100.00,,,,4.00 Nos,200.00,800.00,19.00 Nos,78.31,1487.94,42.00 Nos,110.90,4657.94
"10"" Blue L 1/2""",18.00 Nos,79.99,1439.82,23.00 Nos,116.95,2689.82,,,,9.00 Nos,222.22,2000.00,,,,,,,18.00 Nos,79.99,1439.82,30.00 Nos,124.66,3739.82,18.00 Nos,79.99,1439.82,18.00 Nos,79.99,1439.82,108.00 Nos,80.00,8640.00,34.00 Nos,103.82,3530.00,2.00 Nos,79.99,159.98,16.00 Nos,80.00,1279.98,,,,18.00 Nos,125.00,2250.00,,,,18.00 Nos,80.00,1440.00,,,,18.00 Nos,80.00,1440.00,,,,,,,5.00 Nos,79.99,399.95,24.00 Nos,134.58,3229.95
