Voucher Number,Reference,Date,Voucher Type,Party Name,Party Alias,Buyer's TIN No.,CST Number,Item Name,Godown,Item Batch,Acutal Quantity,Billed Quantity,Alternate Actual Quantity,Alternate Billed Quantity,Rate,Purchase Rate,Unit,Discount,Discount Amount,Margin,Amount,Purchase/Sales Ledger,Narration
PFIDEL001/18-19,PFIDEL001/17-18,3-Apr-18,Sales,Prem Enviromantel Solutions,,03262165823,,"20"" BB L -1""",Main Location,Primary Batch,12.00,12.00,,,420.00,355.00,Nos,0,,942.82,5040.00,IGST Sale,
PFIDEL001/18-19,PFIDEL001/17-18,3-Apr-18,Sales,Prem Enviromantel Solutions,,03262165823,,MEMFLO-4-300-2,Main Location,Primary Batch,5.00,5.00,,,2700.00,2400.00,Nos,0,,1936.11,13500.00,IGST Sale,
PFIDEL001/18-19,PFIDEL001/17-18,3-Apr-18,Sales,Prem Enviromantel Solutions,,03262165823,,"SPG 1354-2.5"" T",Main Location,Primary Batch,6.00,6.00,,,3100.00,2881.00,Nos,0,,1914.87,18600.00,IGST Sale,
PFIDEL002/18-19,PFIDEL002/17-18,3-Apr-18,Sales,Jal Jeevan Engineers,,07670425885,,"FRP 3072 - 4""TB",Main Location,Primary Batch,2.00,2.00,,,24000.00,20663.00,Nos,0,,6674.00,48000.00,SCGST Sale,
PFIDEL002/18-19,PFIDEL002/17-18,3-Apr-18,Sales,Jal Jeevan Engineers,,07670425885,,"FRP 3672 - 4""TB",Main Location,Primary Batch,2.00,2.00,,,32000.00,26330.00,Nos,0,,11340.00,64000.00,SCGST Sale,
PFIDEL002/18-19,PFIDEL002/17-18,3-Apr-18,Sales,Jal Jeevan Engineers,,07670425885,,"SP 30""",Main Location,Primary Batch,20.00,20.00,,,105.00,69.00,Nos,0,,720.00,2100.00,SCGST Sale,
PFIDEL003/18-19,,3-Apr-18,Sales,M/S  AQUA ROYAL ENGINEERING,,09388840091,,DS - ADP,Main Location,Primary Batch,35.00,35.00,,,200.00,100.00,Nos,0,,3636.36,7000.00,IGST Sale,
PFIDEL003/18-19,,3-Apr-18,Sales,M/S  AQUA ROYAL ENGINEERING,,09388840091,,HM 4040-BWE,Main Location,Primary Batch,10.00,10.00,,,7000.00,6450.00,Nos,0,,6863.64,70000.00,IGST Sale,
PFIDEL004/18-19,,3-Apr-18,Sales,Neomax Industrial Products,,09990601873,,IN 510 CT,Main Location,Primary Batch,1.00,1.00,,,2200.00,1150.00,Nos,0,,1050.00,2200.00,IGST Sale,
PFIDEL005/18-19,,3-Apr-18,Sales,Bimal Water Solutions,,09765714556V,09765714556C,"SP BB 20""",Main Location,Primary Batch,9.00,9.00,,,200.00,150.00,Nos,0,,450.00,1800.00,IGST Sale,
