Voucher Number,Reference,Date,Voucher Type,Party Name,Party Alias,Supplier's TIN No.,CST Number,Item Name,Godown,Item Batch,Acutal Quantity,Billed Quantity,Alternate Actual Quantity,Alternate Billed Quantity,Rate,Purchase Rate,Unit,Discount,Discount Amount,Margin,Amount,Purchase/Sales Ledger,Narration
PFI-MINV/2300001,01,4-Apr-22,Sales (22-23),Mumbai Filter Corporation,,,,"PP 10"" 1 UM",ANDHERI,Primary Batch,150.00,150.00,,,59.00,37.85,Nos,0,,3172.50,8850.00,GST Sales,
PFI-MINV/2300001,01,4-Apr-22,Sales (22-23),Mumbai Filter Corporation,,,,"PP 10"" 10 UM",ANDHERI,Primary Batch,50.00,50.00,,,54.00,33.85,Nos,0,,1007.50,2700.00,GST Sales,
PFI-MINV/2300001,01,4-Apr-22,Sales (22-23),Mumbai Filter Corporation,,,,"PP 10"" 25 UM",ANDHERI,Primary Batch,150.00,150.00,,,54.00,34.01,Nos,0,,2998.50,8100.00,GST Sales,
PFI-MINV/2300001,01,4-Apr-22,Sales (22-23),Mumbai Filter Corporation,,,,"PP 10"" 5UM",ANDHERI,Primary Batch,100.00,100.00,,,54.00,34.48,Nos,0,,1952.00,5400.00,GST Sales,
PFI-MINV/2300001,01,4-Apr-22,Sales (22-23),Mumbai Filter Corporation,,,,"PP 20"" 1 UM",ANDHERI,Primary Batch,100.00,100.00,,,118.00,74.64,Nos,0,,4336.00,11800.00,GST Sales,
PFI-MINV/2300001,01,4-Apr-22,Sales (22-23),Mumbai Filter Corporation,,,,"PP 20"" 25 UM",ANDHERI,Primary Batch,25.00,25.00,,,108.00,78.13,Nos,0,,746.75,2700.00,GST Sales,
PFI-MINV/2300001,01,4-Apr-22,Sales (22-23),Mumbai Filter Corporation,,,,"PP 20"" 5 UM",ANDHERI,Primary Batch,50.00,50.00,,,108.00,70.56,Nos,0,,1872.00,5400.00,GST Sales,
PFI-MINV/2300002,PFI-MSO/2205764,4-Apr-22,Sales (22-23),Zurica Food & Beverages LLP,,,,"20"" PP Bag Assembly",ANDHERI,Primary Batch,1.00,1.00,,,3000.00,663.55,Nos,0,,2336.45,3000.00,GST Sales,
PFI-MINV/2300003,PFI-MSO/2205765,4-Apr-22,Sales (22-23),Kaps Purity India Pvt Ltd,,,,FM 50 (1.6-16),BHIWANDI,Primary Batch,1.00,1.00,,,2800.00,1200.61,Nos,0,,1599.39,2800.00,GST Sales,
PFI-MINV/2300004,PFI-MSO/2300005,4-Apr-22,Sales (22-23),Xpert Life Science,,,,"SP 6""",ANDHERI,Primary Batch,24.00,24.00,,,40.00,17.53,Nos,0,,539.48,960.00,GST Sales,
